bandleader,artist,birth,death,
Bill Evans,Bill Evans,1929-08-16,1980-09-15,
Bill Evans,Bill Evans Trio,1929-08-16,1980-09-15,
Oscar Peterson,Oscar Peterson,1925-08-15,2007-12-23,
Oscar Peterson,The Oscar Peterson Trio,1925-08-15,2007-12-23,
Oscar Peterson,Oscar Peterson & Friends,1925-08-15,2007-12-23,
Oscar Peterson,Oscar Peterson's Montreal Trio,1925-08-15,2007-12-23,
Oscar Peterson,The Very Tall Band,1925-08-15,2007-12-23,
Ahmad Jamal,Ahmad Jamal,1930-07-02,2023-04-16,
Ahmad Jamal,The Ahmad Jamal Trio,1930-07-02,2023-04-16,
Ahmad Jamal,Ahmad Jamal's Three Strings,1930-07-02,2023-04-16,
Brad Mehldau,Brad Mehldau,1970-08-23,,
Brad Mehldau,Brad Mehldau Trio,1970-08-23,,
Keith Jarrett,Keith Jarrett,1945-05-08,,
Keith Jarrett,Keith Jarrett Trio,1945-05-08,,
Keith Jarrett,"Keith Jarrett, Gary Peacock, Jack DeJohnette",1945-05-08,,
Bud Powell,Bud Powell,1924-09-27,1966-07-31,
Bud Powell,Bud Powell Trio,1924-09-27,1966-07-31,
Bud Powell,Bud Powell's Modernists,1924-09-27,1966-07-31,
Nat King Cole,Nat King Cole,1919-03-17,1965-02-15,
Nat King Cole,The Nat King Cole Trio,1919-03-17,1965-02-15,
Nat King Cole,Nat King Cole Combo,1919-03-17,1965-02-15,
Nat King Cole,Nat King Cole and His Swing Trio,1919-03-17,1965-02-15,
Thelonious Monk,Thelonious Monk,1917-10-10,1982-02-17,
Thelonious Monk,Thelonious Monk Trio,1917-10-10,1982-02-17,
McCoy Tyner,McCoy Tyner,1938-12-11,2020-03-06,
McCoy Tyner,McCoy Tyner Trio,1938-12-11,2020-03-06,
Tommy Flanagan,Tommy Flanagan,1930-03-16,2001-11-16,
Tommy Flanagan,Tommy Flanagan Trio,1930-03-16,2001-11-16,
Bobby Timmons,Bobby Timmons,1935-12-19,1974-03-01,
Bobby Timmons,The Bobby Timmons Trio,1935-12-19,1974-03-01,
Sonny Clark,Sonny Clark,1931-07-21,1963-01-13,
Sonny Clark,Sonny Clark Trio,1931-07-21,1963-01-13,
Paul Bley,Paul Bley,1932-11-10,2016-01-03,
Paul Bley,Paul Bley Trio,1932-11-10,2016-01-03,
Paul Bley,Paul Bley Trios,1932-11-10,2016-01-03,
Chick Corea,Chick Corea,1941-07-12,2021-02-09,
Chick Corea,Chick Corea Trio,1941-07-12,2021-02-09,
Chick Corea,Chick Corea Akoustic Band,1941-07-12,2021-02-09,
Chick Corea,Chick Corea Freedom Band,1941-07-12,2021-02-09,
Chick Corea,The Chick Corea New Trio,1941-07-12,2021-02-09,
Kenny Barron,Kenny Barron,1943-06-09,,
Kenny Barron,Kenny Barron Trio,1943-06-09,,
Kenny Barron,The Super Premium Band,1943-06-09,
Kenny Drew,Kenny Drew,1928-08-28,1993-08-04,
Kenny Drew,Kenny Drew Trio,1928-08-28,1993-08-04,
Hampton Hawes,Hampton Hawes,1928-11-13,1977-05-22,
Hampton Hawes,Hampton Hawes Trio,1928-11-13,1977-05-22,
Herbie Nichols,Herbie Nichols,1919-01-03,1963-04-12,
Herbie Nichols,Herbie Nichols Trio,1919-01-03,1963-04-12,
Wynton Kelly,Wynton Kelly,1931-12-02,1971-04-12,
Wynton Kelly,The Wynton Kelly Trio,1931-12-02,1971-04-12,
Abdullah Ibrahim,Abdullah Ibrahim,1934-10-09,,
Abdullah Ibrahim,Abdullah Ibrahim Trio,1934-10-09,,
Red Garland,Red Garland,1923-05-13,1984-04-23,
Red Garland,Red Garland Trio,1923-05-13,1984-04-23,
Hank Jones,Hank Jones,1918-07-31,2010-05-16,
Hank Jones,Hank Jones Trio,1918-07-31,2010-05-16,
Stanley Cowell,Stanley Cowell,1941-05-05,2020-12-17,
Stanley Cowell,Stanley Cowell Trio,1941-05-05,2020-12-17,
Ray Brown,Ray Brown,1926-10-13,2002-07-02,
Ray Brown,The Ray Brown Trio,1926-10-13,2002-07-02,
Count Basie,Count Basie,1904-08-21,1984-04-26,
Count Basie,The Count Basie Trio,1904-08-21,1984-04-26,
Cedar Walton,Cedar Walton,1934-01-17,2013-08-19,
Cedar Walton,Cedar Walton Trio,1934-01-17,2013-08-19,
Dave Brubeck,Dave Brubeck,1920-12-06,2012-12-05,
Dave Brubeck,The Dave Brubeck Trio,1920-12-06,2012-12-05,
Junior Mance,Junior Mance,1928-10-10,2021-01-17,
Junior Mance,Junior Mance Trio,1928-10-10,2021-01-17,
Art Tatum,Art Tatum,1909-10-13,1956-11-05,
Art Tatum,Art Tatum Trio,1909-10-13,1956-11-05,
Art Tatum,The Art Tatum/Benny Carter/Louie Bellson Trio,1909-10-13,1956-11-05,
Joe Zawinul,Joe Zawinul,1932-07-07,2007-09-11,
Joe Zawinul,Joe Zawinul Trio,1932-07-07,2007-09-11,
Joe Zawinul,The Zawinul Syndicate,1932-07-07,2007-09-11,
Teddy Wilson,Teddy Wilson,1912-11-24,1986-07-31,
Teddy Wilson,Teddy Wilson Trio,1912-11-24,1986-07-31,
Teddy Wilson,Teddy Wilson and His Trio,1912-11-24,1986-07-31,
Lennie Tristano,Lennie Tristano,1919-03-19,1978-11-18,
Lennie Tristano,Lennie Tristano Trio,1919-03-19,1978-11-18,
John Hicks,John Hicks,1941-12-21,2006-05-10,
John Hicks,John Hicks Trio,1941-12-21,2006-05-10,
Dave Holland,Dave Holland,1946-10-01,,
Dave Holland,Dave Holland Trio,1946-10-01,,
