track_name,mbz_id,fname,instrument,correct,f_score,f_score_downbeats,iterations,time,threshold,transition_lambda,passes
Blues for Gwen,72d0306f-d3ed-4332-9d59-1c22271568d7,tynerm-bluesforgwen-davisajonese-1962-72d0306f,mix,True,0.9836829836829836,0.4588744588744589,0,08-05-24_02-50-47,0.05,5.0,3
Lil Darlin,f892ef46-a5e6-4624-a694-36444677cfa2,tynerm-lildarlin-sharpeahayesl-1986-f892ef46,mix,True,1.0,0.0,0,08-05-24_02-51-14,0.05,5.0,3
TraneLike,f61d311f-067d-4ff3-986f-ac91a571a381,tynerm-tranelike-clarkesfostera-1998-f61d311f,mix,True,0.9876543209876543,0.5925925925925927,0,08-05-24_02-51-39,0.05,5.0,3
Someday My Prince Will Come,709cf40e-fd3f-4af7-9028-d96c90741cce,barronk-somedaymyprincewillcome-williamsbrileyb-1982-709cf40e,mix,True,0.9959514170040485,0.48809523809523814,0,08-05-24_02-52-07,0.05,5.0,3
Take the Coltrane,d8efd19a-95cb-47b7-a113-846ac138be11,barronk-takethecoltrane-hadenchaynesr-1994-d8efd19a,mix,True,0.9646569646569647,0.43346007604562736,0,08-05-24_02-52-35,0.05,5.0,3
Shuffle Boil,3a37bdb6-b048-480b-b367-43d0f60e2313,barronk-shuffleboil-kitagawakblakej-2015-3a37bdb6,mix,True,0.9897959183673469,0.8909090909090909,0,08-05-24_02-52-57,0.05,5.0,3
Just Friends,0469f84b-0b9d-4e06-8c82-8d634fd8e8e1,flanagant-justfriends-tuckerbbaileyd-1961-0469f84b,mix,True,1.0,0.5970149253731344,0,08-05-24_02-53-22,0.05,5.0,3
Denzils Best,b4be29dc-0604-4d35-9eec-a1134ddf4d18,flanagant-denzilsbest-mrazgjonese-1976-b4be29dc,mix,True,0.9966329966329966,0.0,0,08-05-24_02-53-45,0.05,5.0,3
Birdsong,1538c8eb-ccd3-4df9-9680-2f866b90ebef,flanagant-birdsong-washingtonpnashl-1997-1538c8eb,mix,True,0.9981308411214954,0.46527777777777773,0,08-05-24_02-54-13,0.05,5.0,3
Ralphs New Blues,7dfd6f62-eb98-4ab1-a82a-faffdc919479,mancej-ralphsnewblues-tuckerbthomasb-1960-7dfd6f62,mix,True,0.992,0.0,0,08-05-24_02-54-33,0.05,5.0,3
Holy Mama,9983c9b5-42f8-430f-803c-1afa05bfd4bd,mancej-holymama-riveramlaroccas-1977-9983c9b5,mix,True,1.0,0.5669291338582677,0,08-05-24_02-54-59,0.05,5.0,3
Broadway,97763166-9e4b-426b-9bcc-8cf687051dfe,mancej-broadway-tanakahwilliamsj-2007-97763166,mix,True,0.9911504424778761,0.5147058823529412,0,08-05-24_02-55-26,0.05,5.0,3
Spring Will Be a Little Late This Year,828208f2-3ae0-4de4-878c-ffd8f7cda68c,jamala-springwillbealittle-crosbyiperkinsw-1955-828208f2,mix,True,1.0,0.0,0,08-05-24_02-55-46,0.05,5.0,3
Dolphin Dance,87cd9343-6d9e-4651-aabc-aa191fd7c6b0,jamala-dolphindance-nasserjgantf-1971-87cd9343,mix,True,0.9102564102564102,0.7727272727272728,0,08-05-24_02-56-08,0.05,5.0,3
Milan,16ff9b1f-39ac-4116-83a7-17ae46b76cc5,jamala-milan-cammackjmuhammadi-2004-16ff9b1f,mix,True,0.9928825622775801,0.6666666666666666,0,08-05-24_02-56-31,0.05,5.0,3
No Cover No Minimum,f675dc4a-15fd-44f2-b929-9908d878a3b0,evansb-nocovernominimum-koticktmotianp-1956-f675dc4a,mix,True,0.8560311284046692,0.0,0,08-05-24_02-56-58,0.05,5.0,3
