track_name,mbz_id,fname,instrument,center,backtrack,f_score,iterations,time,max_size,wait,delta,pre_max,post_max,pre_avg,post_avg
How About You,597be228-4b30-4d1b-909d-dbe4fb57d937,evansb-howaboutyou-gomezedejohnettej-1968-597be228,drums,True,False,0.8632218844984804,0,02-08-23_00-21-48,5,5,0.05,5,5,5,5
Turn Out the Stars,7e8112aa-7274-46fc-9b41-5c6af74839ad,evansb-turnoutthestars-gomezedejohnettej-1968-7e8112aa,drums,True,False,0.8349900596421471,0,02-08-23_00-21-44,5,5,0.05,5,5,5,5
All of You,1324a29e-6075-4beb-861d-73f6de9be20a,evansb-allofyou-gomezezigmunde-1975-1324a29e,drums,True,False,0.8340192043895748,0,02-08-23_00-21-56,5,5,0.05,5,5,5,5
Wrap Your Troubles in Dreams,a007f3a3-e9be-498b-b87c-f89a6ae4e523,evansb-wrapyourtroublesindreams-gomezejoep-1967-a007f3a3,drums,True,False,0.8091353996737358,0,02-08-23_00-21-42,5,5,0.05,5,5,5,5
Youre Gonna Hear From Me,f476cd37-454f-4f73-8b41-ad55c08aafad,evansb-youregonnahearfromme-gomezejoep-1966-f476cd37,drums,True,False,0.8085106382978723,0,02-08-23_00-21-51,5,5,0.05,5,5,5,5
Deed I Do,57707551-2a88-4a64-ae65-552f1b9ce4bc,evansb-deedido-israelscbunkerl-1966-57707551,drums,True,False,0.7854785478547854,0,02-08-23_00-21-49,5,5,0.05,5,5,5,5
Blues in F,22dcfe38-dd8d-47d6-9cb6-f21d811ad5dd,evansb-bluesinf-israelscbunkerl-1963-22dcfe38,drums,True,False,0.9025069637883009,0,02-08-23_00-21-39,5,5,0.05,5,5,5,5
Glorias Step take 1 interrupted,af9c1ed7-0406-4411-a53e-32c5350c9bf8,evansb-gloriassteptake1interrupted-lafarosmotianp-1961-af9c1ed7,drums,True,False,0.8390243902439024,0,02-08-23_00-21-35,5,5,0.05,5,5,5,5
Glorias Step take 3,f72a8e95-4a9f-409a-aff7-8857540adf73,evansb-gloriassteptake3-lafarosmotianp-1961-f72a8e95,drums,True,False,0.8363636363636364,0,02-08-23_00-21-35,5,5,0.05,5,5,5,5
Israel,96983faa-05bb-4900-b8f3-a6af4ec08290,evansb-israel-lafarosmotianp-1961-96983faa,drums,True,False,0.9017713365539451,0,02-08-23_00-21-48,5,5,0.05,5,5,5,5
Autumn Leaves,902d3125-5eab-4c81-b504-975ca7a8a841,evansb-autumnleaves-johnsonmlabarberaj-1980-902d3125,drums,True,False,0.7940298507462686,0,02-08-23_00-21-38,5,5,0.05,5,5,5,5
Bills Hit Tune,0f9d3126-c136-4809-bc19-0af1e50a1e4b,evansb-billshittune-johnsonmlabarberaj-1980-0f9d3126,drums,True,False,0.6900369003690037,0,02-08-23_00-21-49,5,5,0.05,5,5,5,5
Days of Wine  Roses,c2ab551d-aa62-4407-b2e8-28ed30e01573,evansb-daysofwineroses-johnsonmlabarberaj-1980-c2ab551d,drums,True,False,0.8383961117861483,0,02-08-23_00-22-01,5,5,0.05,5,5,5,5
The Touch of Your Lips,86381970-d551-4570-b8b9-d525bab81fb5,evansb-thetouchofyourlips-johnsonmlabarberaj-1980-86381970,drums,True,False,0.8115384615384614,0,02-08-23_00-22-05,5,5,0.05,5,5,5,5
Turn Out the Stars,d786dfbb-2d16-4559-a80e-8227e3e38e17,evansb-turnoutthestars-johnsonmlabarberaj-1980-d786dfbb,drums,True,False,0.7479376718606783,0,02-08-23_00-22-08,5,5,0.05,5,5,5,5
34 Skidoo,2ff369e4-b72e-4948-9b27-152d60f75a84,evansb-34skidoo-gomezemorellm-1972-2ff369e4,drums,True,False,0.8423280423280424,0,02-08-23_00-22-03,5,5,0.05,5,5,5,5
A Sleeping Bee,85b8621e-33b2-4ec9-804d-2f6acc31b013,evansb-asleepingbee-gomezemorellm-1969-85b8621e,drums,True,False,0.8430913348946135,0,02-08-23_00-21-58,5,5,0.05,5,5,5,5
