track_name,mbz_id,fname,instrument,f_score,iterations,time,threshold,smooth,pre_avg,post_avg,pre_max,post_max
Blues for Gwen,72d0306f-d3ed-4332-9d59-1c22271568d7,tynerm-bluesforgwen-davisajonese-1962-72d0306f,drums,0.9172616547669046,0,08-05-24_00-21-08,0.54,0.05,0.0,0.0,0.01,0.01
Lil Darlin,f892ef46-a5e6-4624-a694-36444677cfa2,tynerm-lildarlin-sharpeahayesl-1986-f892ef46,drums,0.9468531468531468,0,08-05-24_00-21-00,0.54,0.05,0.0,0.0,0.01,0.01
TraneLike,f61d311f-067d-4ff3-986f-ac91a571a381,tynerm-tranelike-clarkesfostera-1998-f61d311f,drums,0.921875,0,08-05-24_00-20-53,0.54,0.05,0.0,0.0,0.01,0.01
Someday My Prince Will Come,709cf40e-fd3f-4af7-9028-d96c90741cce,barronk-somedaymyprincewillcome-williamsbrileyb-1982-709cf40e,drums,0.9736664415935179,0,08-05-24_00-21-07,0.54,0.05,0.0,0.0,0.01,0.01
Take the Coltrane,d8efd19a-95cb-47b7-a113-846ac138be11,barronk-takethecoltrane-hadenchaynesr-1994-d8efd19a,drums,0.9476372924648787,0,08-05-24_00-21-08,0.54,0.05,0.0,0.0,0.01,0.01
Shuffle Boil,3a37bdb6-b048-480b-b367-43d0f60e2313,barronk-shuffleboil-kitagawakblakej-2015-3a37bdb6,drums,0.9550827423167849,0,08-05-24_00-20-30,0.54,0.05,0.0,0.0,0.01,0.01
Just Friends,0469f84b-0b9d-4e06-8c82-8d634fd8e8e1,flanagant-justfriends-tuckerbbaileyd-1961-0469f84b,drums,0.9893939393939394,0,08-05-24_00-20-54,0.54,0.05,0.0,0.0,0.01,0.01
Denzils Best,b4be29dc-0604-4d35-9eec-a1134ddf4d18,flanagant-denzilsbest-mrazgjonese-1976-b4be29dc,drums,0.9574266792809839,0,08-05-24_00-20-38,0.54,0.05,0.0,0.0,0.01,0.01
Birdsong,1538c8eb-ccd3-4df9-9680-2f866b90ebef,flanagant-birdsong-washingtonpnashl-1997-1538c8eb,drums,0.9458823529411765,0,08-05-24_00-21-09,0.54,0.05,0.0,0.0,0.01,0.01
Ralphs New Blues,7dfd6f62-eb98-4ab1-a82a-faffdc919479,mancej-ralphsnewblues-tuckerbthomasb-1960-7dfd6f62,drums,0.9565217391304348,0,08-05-24_00-20-23,0.54,0.05,0.0,0.0,0.01,0.01
Holy Mama,9983c9b5-42f8-430f-803c-1afa05bfd4bd,mancej-holymama-riveramlaroccas-1977-9983c9b5,drums,0.9420000000000001,0,08-05-24_00-20-56,0.54,0.05,0.0,0.0,0.01,0.01
Broadway,97763166-9e4b-426b-9bcc-8cf687051dfe,mancej-broadway-tanakahwilliamsj-2007-97763166,drums,0.9478908188585607,0,08-05-24_00-21-01,0.54,0.05,0.0,0.0,0.01,0.01
Spring Will Be a Little Late This Year,828208f2-3ae0-4de4-878c-ffd8f7cda68c,jamala-springwillbealittle-crosbyiperkinsw-1955-828208f2,drums,0.8509803921568627,0,08-05-24_00-20-22,0.54,0.05,0.0,0.0,0.01,0.01
Dolphin Dance,87cd9343-6d9e-4651-aabc-aa191fd7c6b0,jamala-dolphindance-nasserjgantf-1971-87cd9343,drums,0.9755434782608695,0,08-05-24_00-20-31,0.54,0.05,0.0,0.0,0.01,0.01
Milan,16ff9b1f-39ac-4116-83a7-17ae46b76cc5,jamala-milan-cammackjmuhammadi-2004-16ff9b1f,drums,0.9583333333333333,0,08-05-24_00-20-46,0.54,0.05,0.0,0.0,0.01,0.01
No Cover No Minimum,f675dc4a-15fd-44f2-b929-9908d878a3b0,evansb-nocovernominimum-koticktmotianp-1956-f675dc4a,drums,0.9655781112091791,0,08-05-24_00-21-04,0.54,0.05,0.0,0.0,0.01,0.01
Glorias Step take 1 interrupted,af9c1ed7-0406-4411-a53e-32c5350c9bf8,evansb-gloriassteptake1interrupted-lafarosmotianp-1961-af9c1ed7,drums,0.9416666666666667,0,08-05-24_00-20-09,0.54,0.05,0.0,0.0,0.01,0.01
Glorias Step take 3,f72a8e95-4a9f-409a-aff7-8857540adf73,evansb-gloriassteptake3-lafarosmotianp-1961-f72a8e95,drums,0.891891891891892,0,08-05-24_00-20-09,0.54,0.05,0.0,0.0,0.01,0.01
Emily,f9fa0f9b-b3d7-4f59-a376-54fc83d42e80,evansb-emily-gomezemorellm-1968-f9fa0f9b,drums,0.9197080291970803,0,08-05-24_00-20-13,0.54,0.05,0.0,0.0,0.01,0.01
SeeSaw,166c480f-4084-491d-a32a-8c899b0e9940,evansb-seesaw-gomezemorellm-1973-166c480f,drums,0.9321872015281758,0,08-05-24_00-20-36,0.54,0.05,0.0,0.0,0.01,0.01
All of You,1324a29e-6075-4beb-861d-73f6de9be20a,evansb-allofyou-gomezezigmunde-1974-1324a29e,drums,0.92,0,08-05-24_00-20-45,0.54,0.05,0.0,0.0,0.01,0.01
Bills Hit Tune,8907b003-9e93-4b74-b35a-981879c9e36e,evansb-billshittune-johnsonmlabarberaj-1980-8907b003,drums,0.9322766570605187,0,08-05-24_00-20-51,0.54,0.05,0.0,0.0,0.01,0.01
Rainbow,2c0f6494-cc8b-4a94-9b0c-9350a97499b2,jarrettk-rainbow-hadencmotianp-1972-2c0f6494,drums,0.8867595818815331,0,08-05-24_00-21-05,0.54,0.05,0.0,0.0,0.01,0.01
All the Things You Are,c82aab89-ca2b-4211-842f-9c69583d03ca,jarrettk-allthethingsyouare-peacockgdejohnettej-1989-c82aab89,drums,0.9612178325480246,0,08-05-24_00-21-05,0.54,0.05,0.0,0.0,0.01,0.01
Between the Devil and the Deep Blue Sea,7e485343-1cb9-4798-acc0-c35320949854,jarrettk-betweenthedevilandthe-peacockgdejohnettej-2009-7e485343,drums,0.9717894736842105,0,08-05-24_00-21-13,0.54,0.05,0.0,0.0,0.01,0.01
With Malice Towards None,d5c51907-81dd-42d8-9e78-956ff9f0d28e,hicksj-withmalicetowardsnone-bookerwmuhammadi-1981-d5c51907,drums,0.959902794653706,0,08-05-24_00-21-10,0.54,0.05,0.0,0.0,0.01,0.01
Expectations,78892a40-bee3-490c-90e8-226203310b97,hicksj-expectations-drummondrsmittym-1993-78892a40,drums,0.9576043068640647,0,08-05-24_00-21-13,0.54,0.05,0.0,0.0,0.01,0.01
Fly Little Bird Fly,e3e5bd4a-a7c4-4b49-8308-c63420605332,hicksj-flylittlebirdfly-williamsbhayesl-2006-e3e5bd4a,drums,0.9182227945911139,0,08-05-24_00-21-09,0.54,0.05,0.0,0.0,0.01,0.01
Back Home Again in Indiana,b0e03bf2-6c3d-48e7-aa7c-ab321ae8a459,petersono-backhomeagaininindiana-kingawilkinsonm-1947-b0e03bf2,drums,0.912280701754386,0,08-05-24_00-20-48,0.54,0.05,0.0,0.0,0.01,0.01
Tristeza,55736745-695f-4703-a51b-637db2db7324,petersono-tristeza-jonessdurhamb-1970-55736745,drums,0.9027777777777778,0,08-05-24_00-20-56,0.54,0.05,0.0,0.0,0.01,0.01
The Man I Love,20c60566-3170-41b9-992c-a3062948fca6,petersono-themanilove-orstedndrewm-1984-20c60566,drums,0.9658002735978112,0,08-05-24_00-20-57,0.54,0.05,0.0,0.0,0.01,0.01
Sweet Georgia Brown,25a7592c-4709-4429-9ca9-7070b32c7f25,powellb-sweetgeorgiabrown-russellcroachm-1950-25a7592c,drums,0.7956403269754769,0,08-05-24_00-21-06,0.54,0.05,0.0,0.0,0.01,0.01
Like Someone in Love,cebd562d-6606-40b5-8d58-01c96609470c,powellb-likesomeoneinlove-michelotpclarkek-1953-cebd562d,drums,0.9476439790575917,0,08-05-24_00-21-09,0.54,0.05,0.0,0.0,0.01,0.01
Rifftide,8a86e370-95b2-48d1-8346-7664ab9f2b7f,powellb-rifftide-orstednschiopffew-1962-8a86e370,drums,0.9488139825218476,0,08-05-24_00-21-12,0.54,0.05,0.0,0.0,0.01,0.01
Blues for Gwen,72d0306f-d3ed-4332-9d59-1c22271568d7,tynerm-bluesforgwen-davisajonese-1962-72d0306f,drums,0.9172413793103448,1,08-05-24_00-22-27,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
Lil Darlin,f892ef46-a5e6-4624-a694-36444677cfa2,tynerm-lildarlin-sharpeahayesl-1986-f892ef46,drums,0.9400855920114123,1,08-05-24_00-22-20,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
TraneLike,f61d311f-067d-4ff3-986f-ac91a571a381,tynerm-tranelike-clarkesfostera-1998-f61d311f,drums,0.9246525237746891,1,08-05-24_00-22-12,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
Someday My Prince Will Come,709cf40e-fd3f-4af7-9028-d96c90741cce,barronk-somedaymyprincewillcome-williamsbrileyb-1982-709cf40e,drums,0.9657064471879288,1,08-05-24_00-22-25,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
Take the Coltrane,d8efd19a-95cb-47b7-a113-846ac138be11,barronk-takethecoltrane-hadenchaynesr-1994-d8efd19a,drums,0.9454545454545454,1,08-05-24_00-22-27,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
Shuffle Boil,3a37bdb6-b048-480b-b367-43d0f60e2313,barronk-shuffleboil-kitagawakblakej-2015-3a37bdb6,drums,0.948626045400239,1,08-05-24_00-21-50,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
Just Friends,0469f84b-0b9d-4e06-8c82-8d634fd8e8e1,flanagant-justfriends-tuckerbbaileyd-1961-0469f84b,drums,0.9901140684410648,1,08-05-24_00-22-13,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
Denzils Best,b4be29dc-0604-4d35-9eec-a1134ddf4d18,flanagant-denzilsbest-mrazgjonese-1976-b4be29dc,drums,0.9593810444874276,1,08-05-24_00-21-59,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
Birdsong,1538c8eb-ccd3-4df9-9680-2f866b90ebef,flanagant-birdsong-washingtonpnashl-1997-1538c8eb,drums,0.9298952457695406,1,08-05-24_00-22-29,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
Ralphs New Blues,7dfd6f62-eb98-4ab1-a82a-faffdc919479,mancej-ralphsnewblues-tuckerbthomasb-1960-7dfd6f62,drums,0.9373433583959899,1,08-05-24_00-21-44,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
Holy Mama,9983c9b5-42f8-430f-803c-1afa05bfd4bd,mancej-holymama-riveramlaroccas-1977-9983c9b5,drums,0.9424936386768449,1,08-05-24_00-22-17,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
Broadway,97763166-9e4b-426b-9bcc-8cf687051dfe,mancej-broadway-tanakahwilliamsj-2007-97763166,drums,0.929620253164557,1,08-05-24_00-22-22,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
Spring Will Be a Little Late This Year,828208f2-3ae0-4de4-878c-ffd8f7cda68c,jamala-springwillbealittle-crosbyiperkinsw-1955-828208f2,drums,0.848,1,08-05-24_00-21-41,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
Dolphin Dance,87cd9343-6d9e-4651-aabc-aa191fd7c6b0,jamala-dolphindance-nasserjgantf-1971-87cd9343,drums,0.9739368998628258,1,08-05-24_00-21-50,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
Milan,16ff9b1f-39ac-4116-83a7-17ae46b76cc5,jamala-milan-cammackjmuhammadi-2004-16ff9b1f,drums,0.9562682215743441,1,08-05-24_00-22-06,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
No Cover No Minimum,f675dc4a-15fd-44f2-b929-9908d878a3b0,evansb-nocovernominimum-koticktmotianp-1956-f675dc4a,drums,0.9605734767025089,1,08-05-24_00-22-23,0.9450000000000001,0.05,0.0,0.0,0.01,0.01
