accuracy,iteration,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
0.5033333333333333,2,26,10,3,log2,49,True
0.49666666666666665,8,229,9,9,sqrt,89,True
0.5333333333333333,1,255,8,4,log2,78,True
0.49333333333333335,4,642,7,8,log2,99,True
0.49,6,768,10,9,,98,True
0.5133333333333333,5,821,6,8,log2,78,False
0.5233333333333333,0,811,7,7,sqrt,84,False
0.37,9,764,7,7,,17,False
0.53,3,948,7,3,log2,32,False
0.36666666666666664,7,996,2,6,,8,False
0.5066666666666667,16,97,6,5,,52,True
0.52,20,154,2,6,sqrt,12,True
0.49,13,341,4,9,sqrt,79,True
0.38666666666666666,14,273,5,3,,52,False
0.5066666666666667,18,441,10,7,log2,16,True
0.49,17,525,3,10,,69,True
0.5433333333333333,22,464,8,4,log2,24,False
0.5433333333333333,12,621,5,3,log2,63,False
0.5366666666666666,11,675,6,3,sqrt,79,True
0.5133333333333333,19,716,2,8,log2,46,False
0.4866666666666667,15,749,6,9,sqrt,18,True
0.38,24,391,8,4,,29,False
0.51,28,199,9,3,sqrt,12,False
0.49333333333333335,29,208,4,10,sqrt,60,False
0.34,25,430,8,8,,17,False
0.5,10,964,6,10,log2,35,True
0.54,21,891,5,2,log2,58,False
0.49333333333333335,26,500,2,8,sqrt,36,True
0.5166666666666667,27,406,4,8,sqrt,45,False
0.38333333333333336,23,590,2,3,,84,False
0.5266666666666666,33,151,4,4,log2,39,True
0.5,40,15,7,1,,63,True
0.5,35,118,5,7,log2,73,False
0.5333333333333333,43,73,5,4,log2,18,False
0.36,31,331,6,6,,59,False
0.5233333333333333,39,213,6,1,sqrt,99,False
0.5266666666666666,32,394,2,7,log2,45,False
0.5366666666666666,30,619,6,2,sqrt,18,False
0.34,34,484,7,8,,47,False
0.5,41,500,4,10,sqrt,43,False
0.51,48,283,3,5,sqrt,75,True
0.53,45,402,8,1,sqrt,34,False
0.49,38,514,3,9,,47,True
0.51,49,162,9,3,log2,99,False
0.53,44,448,4,3,,9,True
0.44,54,10,5,5,sqrt,5,True
0.5033333333333333,50,111,7,10,sqrt,12,True
0.49,46,546,8,9,log2,40,True
0.56,36,802,5,1,sqrt,80,True
0.53,47,589,8,3,log2,81,False
0.5333333333333333,42,852,4,3,sqrt,94,False
0.37666666666666665,37,801,6,5,,11,False
